                   h5File        nPho       nDtN  minT  nR  nC  n0P target
   obs_20110803-092812.h5           0          0    -1  32  32 1024 test
   obs_20110803-093102.h5       27265       2297   101  32  32  554 test
   obs_20110803-093333.h5     1801063     134655    18  32  32  319 beam map y-axis
   obs_20110803-094212.h5     4079161     152069    30  32  32  302 beam map x-axis
   obs_20110803-094950.h5     2470791     135406    29  32  32  307 beam map x-axis
   obs_20110803-100853.h5     3224479     127425    55  32  32  315 beammap y-axis
   obs_20110803-101718.h5           0          0    -1   1   0    0 test
   obs_20110803-101727.h5           0          0    -1   1   0    0 test
   obs_20110803-101824.h5      308545      14284     7  32  32  344 test
   obs_20110803-101912.h5     2710477     126755    61  32  32  304 test
   obs_20110803-102543.h5     3609054     130843    33  32  32  325 beammap y-axis
   obs_20110803-103332.h5     1478338     121284     1  32  32  309 beammap y-axis
   obs_20110803-125602.h5      368466       7841     2  32  32  427 dark
   obs_20110803-125930.h5    93195480      42447   101  32  32  298 405nm fiber
   obs_20110803-130156.h5    17500668      41734   101  32  32  300 405nm fiber
   obs_20110803-130349.h5    10153373      39848   101  32  32  303 694nm fiber
   obs_20110803-130456.h5    12196341      40125   101  32  32  306 694nm fiber
   obs_20110803-130910.h5     1119255      21893    30  32  32  308 all 3 lasers
   obs_20110803-131107.h5     1079457      30572    28  32  32  307 red laser
   obs_20110803-160349.h5     2202468      15092   101  32  32  471 dark
   obs_20110803-163910.h5    13252994      28392   101  32  32  308 dark
   obs_20110803-164201.h5           0          0    -1   1   0    0 dark
   obs_20110803-164215.h5      332797       4655    21  32  32  616 dark
   obs_20110803-164406.h5           0          0    -1   1   0    0 flat
   obs_20110803-164413.h5     2855914       6332   101  32  32  309 flat
   obs_20110803-164849.h5     3593075       6349   101  32  32  309 flat
   obs_20110803-164934.h5           0          0    -1   1   0    0 flat
   obs_20110803-164937.h5     3466561       6348   101  32  32  308 flat
   obs_20110803-165110.h5     1324173       6210   101  32  32  311 flat
   obs_20110803-165155.h5     3726246       6350   101  32  32  308 flat
   obs_20110803-165317.h5     1689776       6030   101  32  32  314 flat
   obs_20110803-165413.h5     5483351       6386   101  32  32  307 flat
   obs_20110803-165513.h5     4255795       6372   101  32  32  309 flat
   obs_20110803-165558.h5     7065242       6426   101  32  32  304 flat
   obs_20110803-165652.h5    13938782       6519   101  32  32  302 flat
   obs_20110803-165926.h5      651557       6049   101  32  32  314 flat
   obs_20110803-170031.h5      771709       6287   101  32  32  310 flat
   obs_20110803-170222.h5           0          0    -1   1   0    0 flat
   obs_20110803-170228.h5      796041       6332   101  32  32  311 flat
   obs_20110803-170303.h5      857111       6346   101  32  32  311 flat
   obs_20110803-170359.h5      918838       6359   101  32  32  309 flat
   obs_20110803-170438.h5           0          0    -1   1   0    0 flat
   obs_20110803-170447.h5      913618       6352   101  32  32  303 flat
   obs_20110803-170547.h5     1086331       6387   101  32  32  307 flat
   obs_20110803-170626.h5     1188098       6387   101  32  32  307 flat
   obs_20110803-170703.h5     1253299       6390   101  32  32  310 flat
   obs_20110803-170746.h5     1279774       6399   101  32  32  307 flat
   obs_20110803-170838.h5     1332781       6397   101  32  32  307 flat
   obs_20110803-170925.h5     1345989       6396   101  32  32  308 flat
   obs_20110803-171054.h5     1529239       6405   101  32  32  308 flat
   obs_20110803-171154.h5     1576911       6400   101  32  32  306 flat
   obs_20110803-171236.h5           0          0    -1   1   0    0 flat
   obs_20110803-171239.h5     1660639       6407   101  32  32  307 flat
   obs_20110803-171324.h5     1728073       6400   101  32  32  309 flat
   obs_20110803-171412.h5     1803602       6401   101  32  32  307 flat
   obs_20110803-171456.h5     1941984       6402   101  32  32  306 flat
   obs_20110803-171613.h5     2078476       6405   101  32  32  307 flat
   obs_20110803-171702.h5     2151095       6400   101  32  32  301 flat
   obs_20110803-172635.h5     3524615       5123   101  32  32  386 flat
   obs_20110803-172653.h5     3576101       5125   101  32  32  383 flat
   obs_20110803-203337.h5       78246       1913   101  32  32  563 sky 405 nm
   obs_20110803-203641.h5       78466       2805   101  32  32  328 sky 405 nm
   obs_20110803-203736.h5      548764       6240   101  32  32  314 sky clear
